manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 078,,78,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 079,,79,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 080,,80,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 081,,81,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 082,,82,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 083,,83,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 084,,84,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 085,,85,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 086,,86,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 087,,87,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 088,,88,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 089,,89,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 090,,90,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 091,,91,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 092,,92,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 093,,93,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 094,,94,,0,127,,,,,,,0-based,,
