manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Waldorf,Blofeld,,LFO 3 speed,LFO,24,,0,127,,,,,0-based,
Waldorf,Blofeld,,LFO 3 sync,LFO,25,,0,1,,,,,0-based,0: off; 1: on
Waldorf,Blofeld,,LFO 3 delay,LFO,26,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 1 octave,Oscillators,27,,16,112,,,,,Centered,16: 128'; ... 112: 1/2'
Waldorf,Blofeld,,OSC 1 semitone,Oscillators,28,,52,76,,,,,Centered,52: -12; ... 76: +12
Waldorf,Blofeld,,OSC 1 detune,Oscillators,29,,0,127,,,,,Centered,
Waldorf,Blofeld,,OSC 1 FM,Oscillators,30,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 1 shape,Oscillators,31,,0,5,,,,,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Waldorf,Blofeld,,OSC 1 pulsewidth,Oscillators,33,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 1 PWM,Oscillators,34,,0,127,,,,,Centered,
Waldorf,Blofeld,,OSC 2 octave,Oscillators,35,,16,112,,,,,Centered,16: 128'; ... 112: 1/2'
Waldorf,Blofeld,,OSC 2 semitone,Oscillators,36,,52,76,,,,,Centered,52: -12; ... 76: +12
Waldorf,Blofeld,,OSC 2 detune,Oscillators,37,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 2 FM,Oscillators,38,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 2 shape,Oscillators,39,,0,5,,,,,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Waldorf,Blofeld,,OSC 2 pulsewidth,Oscillators,40,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 2 PWM,Oscillators,41,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 3 octave,Oscillators,42,,16,112,,,,,Centered,16: 128'; ... 112: 1/2'
Waldorf,Blofeld,,OSC 3 semitone,Oscillators,43,,52,76,,,,,Centered,52: -12; ... 76: +12
Waldorf,Blofeld,,OSC 3 detune,Oscillators,44,,0,127,,,,,Centered,
Waldorf,Blofeld,,OSC 3 FM,Oscillators,45,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 3 shape,Oscillators,46,,0,5,,,,,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Waldorf,Blofeld,,OSC 3 pulsewidth,Oscillators,47,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 3 PWM,Oscillators,48,,0,127,,,,,Centered,
Waldorf,Blofeld,,Sync,Oscillators,49,,0,1,,,,,0-based,0: off; 1: on
Waldorf,Blofeld,,Pitchmod,General,50,,0,127,,,,,Centered,
Waldorf,Blofeld,,Glide mode,General,51,,0,9,,,,,0-based,
Waldorf,Blofeld,,OSC 1 level,Mix,52,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 1 balance,Mix,53,,0,127,,,,,Centered,
Waldorf,Blofeld,,Ringmod level,Mix,54,,0,127,,,,,0-based,
Waldorf,Blofeld,,Ringmod balance,Mix,55,,0,127,,,,,Centered,
Waldorf,Blofeld,,OSC 2 level,Mix,56,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 2 balance,Mix,57,,0,127,,,,,Centered,
Waldorf,Blofeld,,OSC 3 level,Mix,58,,0,127,,,,,0-based,
Waldorf,Blofeld,,OSC 3 balance,Mix,59,,0,127,,,,,Centered,
Waldorf,Blofeld,,Noise level,Mix,60,,0,127,,,,,0-based,
Waldorf,Blofeld,,Noise balance,Mix,61,,0,127,,,,,Centered,
Waldorf,Blofeld,,Noise color,Mix,62,,0,127,,,,,0-based,
Waldorf,Blofeld,,Sustain pedal,General,64,,0,127,,,,,0-based,
Waldorf,Blofeld,,Glide active,General,65,,0,127,,,,,0-based,
Waldorf,Blofeld,,Sostenuto,General,66,,0,127,,,,,0-based,
Waldorf,Blofeld,,Routing,General,67,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 type,Filter,68,,0,10,,,,,0-based,0: bypass; 1: LP24dB; 2: LP12dB; 3: BP 24dB; 4: BP 12dB; 5: HP 24dB; 6: HP 12dB; 7: notch 24dB; 8: notch 12dB; 9: Comb; 10: PPG LP
Waldorf,Blofeld,,Filter 1 cutoff,Filter,69,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 resonance,Filter,70,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 drive,Filter,71,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 keytrack,Filter,72,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 envelope amount,Filter,73,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 1 envelope velocity,Filter,74,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 1 cutoff modulation,Filter,75,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 1 FM,Filter,76,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 1 pan,Filter,77,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 1 pan modulation,Filter,78,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 2 type,Filter,79,,0,10,,,,,0-based,0: bypass; 1: LP24dB; 2: LP12dB; 3: BP 24dB; 4: BP 12dB; 5: HP 24dB; 6: HP 12dB; 7: notch 24dB; 8: notch 12dB; 9: Comb; 10: PPG LP
Waldorf,Blofeld,,Filter 2 cutoff,Filter,80,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 2 resonance,Filter,81,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 2 drive,Filter,82,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 2 keytrack,Filter,83,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 2 envelope amount,Filter,84,,0,127,,,,,Centered,
